number,has_test,has_bug,has_feature,has_improve,has_document,has_refactor,lines_added,lines_deleted,files_changed,commits,change_num,prev_PRs,title_words,body_words,reviews_count,reviews_users,reviews_avg_len,reviews_time_span_hours,files_count,files_avg_additions,files_avg_deletions,files_avg_changes,files_avg_patch_chars,files_avg_patch_lines
157912,0,0,0,0,0,0,20,18,6,1,2.0,5,9,11,1.0,1.0,223.0,0.0,6.0,3.3333333333333335,3.0,6.333333333333333,3305.0,14.0
157913,0,0,0,0,0,0,19,21,5,1,1.0,3,9,4,0.0,0.0,0.0,0.0,5.0,3.8,4.2,8.0,1122.4,24.0
157910,0,0,0,0,0,0,6,6,6,1,2.066666666666667,10,11,25,2.0,2.0,0.5,0.09166666666666666,6.0,1.0,1.0,2.0,423.0,8.666666666666666
157907,0,0,0,0,0,0,19,21,5,1,1.0,2,8,5,0.0,0.0,0.0,0.0,5.0,3.8,4.2,8.0,1122.4,24.0
157906,0,0,0,0,0,0,7,0,1,2,1.6153846153846154,12,6,59,1.0,1.0,36.0,0.0,1.0,7.0,0.0,7.0,496.0,17.0
157901,0,0,0,0,0,0,133,9,2,2,3.2666666666666666,14,8,17,2.0,2.0,1.0,0.03722222222222222,2.0,66.5,4.5,71.0,3387.0,86.0
157905,0,0,0,0,0,0,0,17,1,1,1.7272727272727273,10,6,0,2.0,2.0,0.0,0.08,1.0,0.0,17.0,17.0,496.0,24.0
157898,0,0,0,0,0,0,27,112,33,3,2.142857142857143,4,9,94,1.0,1.0,0.0,0.0,33.0,0.8181818181818182,3.393939393939394,4.212121212121212,774.1212121212121,25.424242424242426
157894,0,0,0,0,0,0,23,32,2,1,3.2448979591836733,48,8,42,0.0,0.0,0.0,0.0,2.0,11.5,16.0,27.5,1328.5,33.0
157891,0,0,0,0,0,0,9,11,2,2,1.8518518518518519,49,11,15,2.0,2.0,1.0,0.8633333333333333,2.0,4.5,5.5,10.0,1525.5,31.0
157877,0,0,0,0,0,0,194,0,3,1,1.0,2,8,9,1.0,1.0,0.0,0.0,3.0,64.66666666666667,0.0,64.66666666666667,3800.6666666666665,71.66666666666667
157875,0,0,0,0,0,0,1,1,1,1,1.5,1,10,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,417.0,9.0
157884,0,0,0,0,0,0,67,67,14,1,3.2448979591836733,47,7,200,1.0,1.0,0.0,0.0,14.0,4.785714285714286,4.785714285714286,9.571428571428571,937.5,18.5
157871,0,0,0,0,0,0,24,1,2,1,1.5909090909090908,18,11,0,1.0,1.0,1.0,0.0,2.0,12.0,0.5,12.5,850.5,27.0
157872,1,0,0,0,0,0,2,2,1,1,1.0,3,6,48,1.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,318.0,12.0
157870,0,0,0,0,0,0,47,2,4,2,1.5,5,10,5,1.0,1.0,0.0,0.0,4.0,11.75,0.5,12.25,937.5,27.25
157865,0,0,0,0,0,0,72,2,2,3,3.2666666666666666,13,5,15,2.0,1.0,0.5,1.378611111111111,2.0,36.0,1.0,37.0,1429.5,43.5
157867,0,0,0,0,0,0,117,101,7,2,1.653061224489796,48,11,73,0.0,0.0,0.0,0.0,7.0,16.714285714285715,14.428571428571429,31.142857142857142,8100.0,67.71428571428571
157857,0,0,0,0,0,0,1,1,1,1,1.0,0,7,19,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,466.0,9.0
157861,0,0,0,0,0,0,0,42,1,1,1.6941176470588235,84,7,40,1.0,1.0,6.0,0.0,1.0,0.0,42.0,42.0,2068.0,52.0
157856,1,0,0,0,0,0,2,0,1,1,1.0,3,7,47,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,760.0,16.0
157847,0,0,0,0,0,0,64,11,2,4,1.6666666666666667,37,6,31,15.0,2.0,0.0,2.3894444444444445,2.0,32.0,5.5,37.5,2639.0,75.5
157851,0,0,0,0,0,0,17,5,2,1,1.6818181818181819,21,5,43,1.0,1.0,2.0,0.0,2.0,8.5,2.5,11.0,1016.0,28.0
157845,0,0,0,0,0,0,20,15,2,1,1.0,1,6,24,1.0,1.0,0.0,0.0,2.0,10.0,7.5,17.5,2006.0,48.5
157844,1,0,0,0,0,0,66,0,1,1,1.0,0,9,0,1.0,1.0,0.0,0.0,1.0,66.0,0.0,66.0,2346.0,70.0
157833,0,0,1,0,0,0,2,12,1,1,1.6941176470588235,83,13,10,1.0,1.0,0.0,0.0,1.0,2.0,12.0,14.0,906.0,23.0
157828,0,0,0,0,0,0,2,0,1,1,1.4,4,5,17,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,158.0,9.0
157838,0,0,0,0,0,0,0,37,2,2,1.5,0,8,0,0.0,0.0,0.0,0.0,2.0,0.0,18.5,18.5,1782.5,57.0
157829,0,0,0,0,0,0,14,2,2,5,5.0,0,14,31,5.0,2.0,0.2,14.099722222222223,2.0,7.0,1.0,8.0,405.5,13.5
157831,0,0,0,0,0,0,3185,166,13,3,3.0,0,4,50,2.0,2.0,18.0,0.04555555555555556,13.0,245.0,12.76923076923077,257.7692307692308,9056.923076923076,278.0
157827,0,0,0,0,0,0,9,5,3,1,2.75,3,7,22,3.0,2.0,0.0,1.2133333333333334,3.0,3.0,1.6666666666666667,4.666666666666667,948.6666666666666,16.333333333333332
157823,1,0,0,0,0,0,0,0,1,1,2.1666666666666665,5,6,23,2.0,2.0,0.0,0.018333333333333333,1.0,0.0,0.0,0.0,0.0,0.0
157820,0,0,0,0,0,0,8,0,1,1,1.0,0,5,13,1.0,1.0,0.0,0.0,1.0,8.0,0.0,8.0,478.0,15.0
157803,0,0,0,1,1,0,126,26,3,4,3.5,1,6,70,0.0,0.0,0.0,0.0,3.0,42.0,8.666666666666666,50.666666666666664,2933.0,62.0
157809,1,0,0,0,0,0,23138,9047,786,241,241.0,0,7,204,0.0,0.0,0.0,0.0,786.0,29.43765903307888,11.510178117048346,40.94783715012723,2452.0712468193383,55.58142493638677
157807,1,0,0,0,0,0,1207,395,6,1,1.0,0,9,79,1.0,1.0,1.0,0.0,6.0,201.16666666666666,65.83333333333333,267.0,11479.5,344.1666666666667
157817,1,0,0,0,0,0,2,2,1,1,1.6941176470588235,82,8,13,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,1224.0,18.0
157810,0,0,0,0,0,0,10,10,4,1,1.5,1,6,34,2.0,2.0,0.0,0.7316666666666667,4.0,2.5,2.5,5.0,1418.75,21.75
157800,0,0,0,0,0,0,8,6,1,1,1.375,7,5,9,1.0,1.0,0.0,0.0,1.0,8.0,6.0,14.0,833.0,24.0
157793,0,0,0,0,0,0,21,19,5,1,1.0,1,7,20,1.0,1.0,0.0,0.0,5.0,4.2,3.8,8.0,1122.4,24.0
157796,0,0,0,0,0,0,29,8,2,1,1.075,39,8,25,0.0,0.0,0.0,0.0,2.0,14.5,4.0,18.5,1354.0,37.0
157791,0,0,0,0,0,0,9,23,1,1,1.165137614678899,107,9,17,2.0,2.0,0.0,5.400555555555556,1.0,9.0,23.0,32.0,1591.0,45.0
157792,0,0,0,0,0,0,11,11,1,1,1.165137614678899,108,4,0,1.0,1.0,0.0,0.0,1.0,11.0,11.0,22.0,4101.0,81.0
